time,open,high,low,close,EMA,EMA-based MA,Volatility Stop,mean,volume,adjMean
2025-07-08T18:22:15-04:00,297.679,297.6991,297.679,297.6991,297.63778743305994,NaN,297.64309672458955,372.9,494,372.9
2025-07-08T18:22:30-04:00,297.6606,297.7,297.6606,297.7,297.65022994644795,NaN,297.64309672458955,384.1,399,384.1
2025-07-08T18:22:45-04:00,297.71,297.71,297.71,297.71,297.66218395715833,NaN,297.66496991894206,285.8,100,285.8
2025-07-08T18:23:00-04:00,297.7,297.7,297.7,297.7,297.6697471657267,NaN,297.66647142299496,245.8,100,245.8
2025-07-08T18:23:30-04:00,297.71,297.71,297.71,297.71,297.6777977325813,NaN,297.6678978518452,221.7,286,221.7
2025-07-08T18:23:45-04:00,297.7,297.7,297.65,297.65,297.67223818606504,NaN,297.6678978518452,274.3,626,274.3
2025-07-08T18:24:30-04:00,297.71,297.71,297.7099,297.7099,297.67977054885205,NaN,297.6678978518452,276.9,254,276.9
2025-07-08T18:26:00-04:00,297.75,297.75,297.75,297.75,297.6938164390816,NaN,297.70255892072583,271.2,253,271.2
2025-07-08T18:26:15-04:00,297.7486,297.7486,297.7486,297.7486,297.7047731512653,NaN,297.7048259746895,281.2,200,281.2
2025-07-08T18:27:00-04:00,297.7399,297.7399,297.7399,297.7399,297.7117985210122,NaN,297.70643217595506,281.2,100,281.2
2025-07-08T18:27:30-04:00,297.72,297.72,297.72,297.72,297.7134388168098,NaN,297.7071180671573,255,232,255
2025-07-08T18:27:45-04:00,297.75,297.75,297.75,297.75,297.7207510534478,NaN,297.7071180671573,255.1,400,255.1
2025-07-08T18:28:00-04:00,297.78,297.79,297.75,297.75,297.7266008427583,NaN,297.72616155560945,289,439,289
2025-07-08T18:28:15-04:00,297.79,297.79,297.79,297.79,297.7392806742066,NaN,297.745353477829,289,100,289
2025-07-08T18:28:30-04:00,297.7888,297.8,297.7888,297.8,297.7514245393653,NaN,297.7511458039375,305.6,452,305.6
2025-07-08T18:28:45-04:00,297.7984,297.7996,297.7984,297.7996,297.76105963149223,NaN,297.75778851374065,344,1010,344
2025-07-08T18:29:00-04:00,297.8,297.8,297.8,297.8,297.76884770519376,NaN,297.76081908805367,370.7,521,370.7
2025-07-08T18:29:15-04:00,297.81,297.81,297.81,297.81,297.777078164155,NaN,297.77202813365096,467.7,1223,467.7
2025-07-08T18:29:30-04:00,297.8,297.81,297.8,297.81,297.783662531324,NaN,297.7731767269684,515.3,676,515.3
2025-07-08T18:29:45-04:00,297.81,297.81,297.81,297.81,297.7889300250592,NaN,297.77501789062,517.3,120,517.3
2025-07-08T18:30:00-04:00,297.7901,297.7901,297.7901,297.7901,297.78916402004734,NaN,297.77527449608897,504.1,100,504.1
2025-07-08T18:30:30-04:00,297.79,297.79,297.79,297.79,297.78933121603785,NaN,297.7770032712845,482.4,183,482.4
2025-07-08T18:31:15-04:00,297.77,297.78,297.77,297.78,297.78746497283026,NaN,297.80784689227966,491.3,528,491.3
2025-07-08T18:31:30-04:00,297.78,297.81,297.78,297.81,297.7919719782642,NaN,297.80784689227966,594,1127,594
2025-07-08T18:31:45-04:00,297.78,297.8,297.77,297.8,297.79357758261136,NaN,297.80784689227966,648.8,1000,648.8
2025-07-08T18:32:00-04:00,297.77,297.7701,297.74,297.74,297.7828620660891,NaN,297.7925927292683,637.8,900,637.8
2025-07-08T18:32:15-04:00,297.72,297.72,297.72,297.72,297.77028965287127,NaN,297.75716559280494,616.8,311,616.8
2025-07-08T18:32:45-04:00,297.76,297.77,297.74,297.77,297.770231722297,NaN,297.75716559280494,536.6,421,536.6
2025-07-08T18:33:30-04:00,297.79,297.79,297.79,297.79,297.7741853778376,NaN,297.7513955524936,499,300,499
2025-07-08T18:33:45-04:00,297.81,297.81,297.81,297.81,297.7813483022701,NaN,297.7718257748689,497,100,497
2025-07-08T18:34:45-04:00,297.81,297.81,297.81,297.81,297.7870786418161,NaN,297.7737344861255,587.8,1008,587.8
2025-07-08T18:35:00-04:00,297.81,297.81,297.81,297.81,297.79166291345285,NaN,297.7755477618192,629.5,600,629.5
2025-07-08T18:35:30-04:00,297.7618,297.8,297.7618,297.78,297.78933033076225,NaN,297.7755477618192,675,983,675
2025-07-08T18:35:45-04:00,297.8,297.8,297.8,297.8,297.79146426460983,NaN,297.7755477618192,572.3,100,572.3
2025-07-08T18:36:00-04:00,297.8,297.8,297.8,297.8,297.79317141168787,NaN,297.77577397478973,482.3,100,482.3
2025-07-08T18:36:15-04:00,297.8,297.8,297.8,297.8,297.7945371293503,NaN,297.77748527605024,402.3,100,402.3
2025-07-08T18:36:30-04:00,297.8,297.8,297.8,297.8,297.79562970348024,NaN,297.7791110122477,401.2,300,401.2
2025-07-08T18:36:45-04:00,297.8,297.8,297.8,297.8,297.7965037627842,NaN,297.7806554616353,369.1,100,369.1
2025-07-08T18:37:15-04:00,297.81,297.81,297.79,297.79,297.79520301022734,NaN,297.7806554616353,461.7,1226,461.7
2025-07-08T18:37:30-04:00,297.81,297.81,297.81,297.81,297.7981624081819,NaN,297.7806554616353,551.2,995,551.2
2025-07-08T18:37:45-04:00,297.7608,297.7608,297.7608,297.7608,297.7906899265455,NaN,297.79242802358044,608.3,1579,608.3
2025-07-08T18:38:00-04:00,297.81,297.81,297.81,297.81,297.7945519412364,NaN,297.77626337759864,558.3,100,558.3
2025-07-08T18:38:30-04:00,297.8,297.8,297.7901,297.7901,297.79366155298914,NaN,297.7764577087187,532.5,725,532.5
2025-07-08T18:39:00-04:00,297.81,297.81,297.77,297.8096,297.7968492423913,NaN,297.7764577087187,633.9,1114,633.9
2025-07-08T18:39:30-04:00,297.81,297.81,297.81,297.81,297.79947939391303,NaN,297.77684808211865,633.9,100,633.9
2025-07-08T18:39:45-04:00,297.81,297.81,297.81,297.81,297.8015835151304,NaN,297.77850567801266,633.9,100,633.9
2025-07-08T18:40:00-04:00,297.7672,297.7672,297.7672,297.7672,297.7947068121043,NaN,297.80032960588795,624.4,205,624.4
2025-07-08T18:40:15-04:00,297.8,297.8,297.8,297.8,297.7957654496835,NaN,297.80032960588795,626.9,125,626.9
2025-07-08T18:40:30-04:00,297.76,297.76,297.75,297.75,297.78661235974675,NaN,297.79098646931385,600.3,960,600.3
2025-07-08T18:40:45-04:00,297.8,297.8,297.7417,297.7417,297.7776298877974,NaN,297.79098646931385,565.9,651,565.9
2025-07-08T18:41:00-04:00,297.809,297.809,297.809,297.809,297.78390391023794,NaN,297.76732083644424,418,100,418
2025-07-08T18:41:45-04:00,297.7702,297.7702,297.7702,297.7702,297.78116312819037,NaN,297.76732083644424,420.9,129,420.9
2025-07-08T18:42:00-04:00,297.8,297.81,297.8,297.81,297.7869305025523,NaN,297.76732083644424,437.3,889,437.3
2025-07-08T18:42:15-04:00,297.81,297.81,297.81,297.81,297.79154440204184,NaN,297.76880330214635,351.8,259,351.8
2025-07-08T18:42:30-04:00,297.81,297.81,297.81,297.81,297.79523552163346,NaN,297.77086313703904,371.8,300,371.8
2025-07-08T18:42:45-04:00,297.79,297.8,297.79,297.79,297.79418841730677,NaN,297.7713199801871,406.8,450,406.8
2025-07-08T18:43:00-04:00,297.78,297.8,297.78,297.8,297.7953507338454,NaN,297.7717539811777,425.1,388,425.1
2025-07-08T18:43:30-04:00,297.8,297.8,297.77,297.77,297.7902805870763,NaN,297.7717539811777,588.2,1756,588.2
2025-07-08T18:43:45-04:00,297.7995,297.7995,297.7995,297.7995,297.7921244696611,NaN,297.7717539811777,542.2,500,542.2
2025-07-08T18:44:00-04:00,297.7993,297.8,297.7993,297.8,297.79369957572885,NaN,297.77302381961226,539.4,623,539.4
2025-07-08T18:44:15-04:00,297.8,297.8,297.8,297.8,297.79495966058306,NaN,297.77487262863167,539.4,100,539.4
2025-07-08T18:44:30-04:00,297.79,297.79,297.79,297.79,297.79396772846644,NaN,297.77587899720004,536.5,100,536.5
2025-07-08T18:45:00-04:00,297.77,297.77,297.77,297.77,297.78917418277314,NaN,297.8039149526599,486.6,390,486.6
2025-07-08T18:45:45-04:00,297.7999,297.7999,297.7999,297.7999,297.79131934621853,NaN,297.8039149526599,475.7,150,475.7
2025-07-08T18:46:00-04:00,297.77,297.77,297.77,297.77,297.78705547697484,NaN,297.8039149526599,495.6,499,495.6
