top - 00:51:11 up 1 day, 20:41,  0 users,  load average: 0.03, 0.04, 0.01
Tasks: 126 total,   1 running, 125 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.1 us,  3.1 sy,  0.0 ni, 90.6 id,  0.0 wa,  0.0 hi,  3.1 si,  0.0 st
MiB Mem :   3911.9 total,    190.1 free,   3411.5 used,    310.3 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.    261.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    739 message+  20   0    8716   3568   2816 S   0.0   0.1   0:00.15 dbus-daemon
    744 do-agent  20   0 1238588  12672   6644 S   0.0   0.3   1:18.12 do-agent
    745 root      20   0 1230708   1036      0 S   0.0   0.0   0:01.03 droplet-agent
    749 root      20   0   82800   2168   1800 S   0.0   0.1   0:06.28 irqbalance
    750 root      20   0   33196  11828   2968 S   0.0   0.3   0:00.09 networkd-dispat
    755 syslog    20   0  222404   2108    424 S   0.0   0.1   0:00.15 rsyslogd
    758 root      20   0 1321412  20648   9128 S   0.0   0.5   0:10.83 snapd
    760 root      20   0   15496   2500   1492 S   0.0   0.1   0:00.38 systemd-logind
    767 zerotie+  20   0  454584   8028      0 S   0.0   0.2   5:55.32 zerotier-one
    769 root      20   0 1802252  15608   3224 S   0.0   0.4   3:30.52 containerd
    793 root      20   0    6220    760    672 S   0.0   0.0   0:00.00 agetty
    796 root      20   0    6176    808    720 S   0.0   0.0   0:00.00 agetty
    811 root      20   0   15436   3560   1924 S   0.0   0.1   0:01.47 sshd
    830 root      20   0   56028   2440      0 S   0.0   0.1   0:00.00 nginx
    834 root      20   0  110132  11384   3276 S   0.0   0.3   0:00.06 unattended-upgr
    841 www-data  20   0   56952   4264   1172 S   0.0   0.1   0:00.00 nginx
    842 www-data  20   0   57612   5816   2016 S   0.0   0.1   0:00.39 nginx
    920 root      20   0 1916316  32896   8404 S   0.0   0.8   0:49.29 dockerd
   1754 root      20   0  296008   7020   4000 S   0.0   0.2   0:01.49 packagekitd
   1758 root      20   0  234504   1352    524 S   0.0   0.0   0:00.10 polkitd
  22566 root      20   0       0      0      0 I   0.0   0.0   0:45.93 kworker/0:1-events
  45202 root      20   0       0      0      0 I   0.0   0.0   0:24.05 kworker/1:2-cgroup_destroy
  49722 root      20   0   18272   5668   2180 S   0.0   0.1   0:20.22 sshd
  49725 root      20   0   17084   4648   2960 S   0.0   0.1   0:00.09 systemd
  49726 root      20   0  169536   3944      0 S   0.0   0.1   0:00.00 (sd-pam)
  49811 root      20   0    8028   2284   1820 S   0.0   0.1   0:00.13 bash
  49843 root      20   0    2892    872    780 S   0.0   0.0   0:00.00 sh
  49853 root      20   0   11.3g  87596  15736 S   0.0   2.2   0:53.32 node
  49928 root      20   0   11.1g  48764  16872 S   0.0   1.2   1:31.59 node
  49939 root      20   0   11.3g  25792   4416 S   0.0   0.6   0:11.75 node
  49980 root      20   0  995044  20340   4148 S   0.0   0.5   0:02.88 node
  50058 root      20   0    8292   2976   2112 S   0.0   0.1   0:00.00 bash
  50114 root      20   0  998220  14820   4728 S   0.0   0.4   0:02.70 node
  50120 root      20   0   24.6g   1.5g   5596 S   0.0  38.0   8:43.76 node
  50151 root      20   0    8292   3000   2104 S   0.0   0.1   0:00.01 bash
  50502 root      20   0 1016120  41024   3864 S   0.0   1.0   0:03.04 node
  50691 root      20   0    8292   2744   1840 S   0.0   0.1   0:00.04 bash
  59125 root      20   0    8292   4076   3176 S   0.0   0.1   0:00.01 bash
  60228 root      20   0 1116496 150740   4756 S   0.0   3.8   0:41.54 node
  60281 root      20   0 1070772 107332   4800 S   0.0   2.7   0:02.15 node
  60287 root      20   0 1089172 129980   4768 S   0.0   3.2   0:05.93 node
  60303 root      20   0 1025808  48092   4680 S   0.0   1.2   0:00.37 node
  61771 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0-cgroup_destroy
  61788 root      20   0       0      0      0 I   0.0   0.0   0:00.40 kworker/u4:3-flush-252:0
  61816 root      20   0       0      0      0 I   0.0   0.0   0:00.99 kworker/1:0-events
  61920 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker/u4:0-events_unbound
  61959 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker/u4:1-events_power_efficient
  62065 root      20   0    6192    812    720 S   0.0   0.0   0:00.00 sleep
  62101 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1-events
  62318 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u4:2-events_unbound
  62319 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u4:4-events_unbound
  62629 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:2-events
  63269 root      20   0   10900   3752   3140 R   0.0   0.1   0:00.00 top
